timestamp,language/m-small,language/m-mid,language/m-large,multimodal/mm-image,reason/deepseek-r1
720000,605054.0,1440948.0000000005,117825.00000000006,,
720600,646208.9999999999,1487723.0,117273.00000000003,,
721200,604327.0,1518889.000000001,90138.00000000003,,
721800,601099.0,1505246.9999999993,95452.0,,
722400,629410.0,1517594.9999999995,93034.99999999999,,
723000,665944.9999999999,1548500.0,90363.00000000003,,
723600,753973.9999999999,1408763.9999999993,113124.00000000001,,
724200,771156.9999999999,1365663.0,117174.0,,
724800,707586.0,1152159.0,122710.99999999999,,
725400,721058.0000000001,1069714.0,122729.00000000004,,
726000,741594.9999999999,1357801.9999999998,127865.00000000003,,
726600,737931.9999999999,1029281.0000000002,125542.00000000003,,
727200,756040.9999999999,1319898.0,129604.00000000001,,
727800,775844.0000000001,1216390.9999999998,121075.00000000003,,
728400,781387.9999999999,1254182.0000000002,125775.99999999994,,
729000,779534.0000000001,1170669.9999999998,137784.99999999994,,
729600,782552.0000000001,1188106.0,138046.00000000003,,
730200,787867.0,1111824.9999999995,148382.0,,
730800,805168.0,1222461.0,164663.00000000006,,
731400,817767.9999999999,1122426.0,151011.00000000003,,
732000,832555.9999999998,1143595.9999999998,165155.00000000006,,
732600,838965.0,1317019.0,159657.00000000006,,
733200,853597.0,1205466.9999999998,160644.99999999994,,
733800,867817.9999999999,1360604.9999999998,177594.0,,
734400,849220.0000000001,1209682.0,214856.99999999997,,
735000,843571.9999999999,1095296.0,202934.99999999997,,
735600,860238.9999999998,1280059.0,230459.99999999988,,
736200,877084.9999999998,1257022.9999999998,159930.99999999994,,
736800,880633.0000000001,1328187.0,222139.00000000006,,
737400,872264.0,1307302.0000000002,259990.0,,
738000,873413.9999999999,1187600.0000000005,282123.00000000006,,
738600,867943.0000000001,1352157.0000000002,276453.00000000006,,
739200,848471.9999999999,1356749.0000000007,198876.0,,
739800,842361.0,1260735.0,148292.00000000003,,
740400,884182.0000000001,1271863.0,162070.00000000003,,
741000,940957.9999999999,1182385.0000000002,170919.9999999999,,
741600,917239.0,995600.9999999999,165391.99999999997,,
742200,927748.0,1283525.9999999998,173567.00000000003,,
742800,941134.9999999998,1037003.0000000001,191884.99999999997,,
743400,940550.9999999998,977750.0000000002,193330.99999999988,,
744000,743554.0,1026997.9999999998,205130.00000000006,,
744600,717164.0,1029667.0,185242.00000000012,,
745200,681733.0000000001,923681.0000000005,179062.0,,
745800,675228.9999999999,838011.0,200327.99999999994,,
746400,686031.0,796194.9999999999,213207.00000000003,,
747000,689928.0000000002,853525.9999999995,192403.0000000001,,
747600,695225.0000000001,962808.0000000003,195814.00000000006,,
748200,694489.0,961196.0000000001,155737.00000000003,,
748800,698418.0,791815.0000000001,181262.0,,
749400,708932.9999999998,947666.9999999997,203601.00000000006,,
750000,725920.0000000001,946392.0,181447.99999999997,,
750600,710756.9999999999,887942.0000000003,142772.00000000003,,
751200,706228.9999999999,764588.9999999999,178841.0,,
751800,735069.0000000001,678429.0000000001,207614.9999999999,,
752400,698957.0,586727.9999999999,107911.99999999997,,
753000,685731.9999999999,581921.9999999999,116981.00000000003,,
753600,691362.9999999999,588138.0,94269.00000000006,,
754200,697090.0,603984.9999999999,116207.99999999999,,
754800,696780.9999999999,684567.0,98742.00000000003,,
755400,705367.9999999999,682783.0000000001,110609.00000000003,,
756000,708044.0,713903.0000000001,83369.00000000001,,
756600,768876.0,642259.9999999999,70961.00000000004,,
757200,729766.9999999999,726915.0000000003,68689.00000000001,,
757800,762749.0000000001,730497.0000000001,85773.00000000001,,
